#,CVE ID,Versions,Functions,Exploit URLs,Components,remarks,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,
20,CVE-2020-27829,before 7.0.10-45,,,,,122,,DoS Overflow,3/26/2021,3/29/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,A heap based buffer overflow in coders/tiff.c may result in program crash and denial of service in ImageMagick before 7.0.10-45.
21,CVE-2020-27776,prior to 7.0.9-0,ApplyEvaluateOperator,https://github.com/ImageMagick/ImageMagick/issues/1736,,there is an outside the range of representable values of type 'unsigned long',190,,,12/4/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in MagickCore/statistic.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type unsigned long. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.9-0."
22,CVE-2020-27775,prior to 7.0.9-0,ApplyEvaluateOperator,,,,190,,,12/4/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in MagickCore/quantum.h. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type unsigned char. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.9-0."
23,CVE-2020-27774,prior to 7.0.9-0,ApplyEvaluateOperator,,,,190,,,12/4/2020,4/28/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in MagickCore/statistic.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of a too large shift for 64-bit type `ssize_t`. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.9-0."
24,CVE-2020-27773,prior to 7.0.9-0,ConvertLabToXYZ,,,,369,,,12/4/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in MagickCore/gem-private.h. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned char` or division by zero. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.9-0."
25,CVE-2020-27772,prior to 7.0.9-0,WriteBMPImage,,,,190,,,12/4/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in coders/bmp.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned int`. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.9-0."
26,CVE-2020-27771,prior to 7.0.9-0,"RestoreMSCWarning, RestoreMSCWarning",,,,190,,,12/4/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In RestoreMSCWarning() of /coders/pdf.c there are several areas where calls to GetPixelIndex() could result in values outside the range of representable for the unsigned char type. The patch casts the return value of GetPixelIndex() to ssize_t type to avoid this bug. This undefined behavior could be triggered when ImageMagick processes a crafted pdf file. Red Hat Product Security marked this as Low severity because although it could potentially lead to an impact to application availability, no specific impact was demonstrated in this case. This flaw affects ImageMagick versions prior to 7.0.9-0."
27,CVE-2020-27770,prior to 7.0.9-0,SubstituteString,,,,190,,Overflow,12/4/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"Due to a missing check for 0 value of `replace_extent`, it is possible for offset `p` to overflow in SubstituteString(), causing potential impact to application availability. This could be triggered by a crafted input file that is processed by ImageMagick. This flaw affects ImageMagick versions prior to 7.0.8-68."
28,CVE-2020-27769,prior to 7.0.9-0,PosterizeImage,,,,190,,,5/14/2021,5/19/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In ImageMagick versions before 7.0.9-0, there are outside the range of representable values of type 'float' at MagickCore/quantize.c."
29,CVE-2020-27768,prior to 7.0.9-0,"ScaleQuantumToAny, ScaleQuantumToLong, ScaleQuantumToLongLong, ScaleQuantumToMap,ScaleQuantumToShort, ",,,,190,,,2/23/2021,3/25/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In ImageMagick, there is an outside the range of representable values of type 'unsigned int' at MagickCore/quantum-private.h. This flaw affects ImageMagick versions prior to 7.0.9-0."
30,CVE-2020-27767,prior to 7.0.9-0,ScaleQuantumToChar,,,,190,,,12/4/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in MagickCore/quantum.h. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of types `float` and `unsigned char`. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.9-0."
31,CVE-2020-27766,prior to 7.0.9-0,ApplyEvaluateOperator,,,,190,,,12/4/2020,4/28/2021,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"A flaw was found in ImageMagick in MagickCore/statistic.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned long`. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.8-69."
32,CVE-2020-27765,prior to 7.0.9-0,OptimalTau,,,,369,,,12/4/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in MagickCore/segment.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of math division by zero. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.9-0."
33,CVE-2020-27764,prior to 6.9.10-69,ApplyEvaluateOperator,,,,190,,,12/3/2020,3/25/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In /MagickCore/statistic.c, there are several areas in ApplyEvaluateOperator() where a size_t cast should have been a ssize_t cast, which causes out-of-range values under some circumstances when a crafted input file is processed by ImageMagick. Red Hat Product Security marked this as Low severity because although it could potentially lead to an impact to application availability, no specific impact was shown in this case. This flaw affects ImageMagick versions prior to 6.9.10-69."
34,CVE-2020-27763,prior to 7.0.8-68,AcquireResizeFilter,,,,369,,,12/3/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in MagickCore/resize.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of math division by zero. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.8-68."
35,CVE-2020-27762,prior to 7.0.8-68,WriteHDRImage,,,,190,,,12/3/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in coders/hdr.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned char`. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to ImageMagick 7.0.8-68."
36,CVE-2020-27761,prior to 7.0.9-0,WritePALMImage,,,,190,,,12/3/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"WritePALMImage() in /coders/palm.c used size_t casts in several areas of a calculation which could lead to values outside the range of representable type `unsigned long` undefined behavior when a crafted input file was processed by ImageMagick. The patch casts to `ssize_t` instead to avoid this issue. Red Hat Product Security marked the Severity as Low because although it could potentially lead to an impact to application availability, no specific impact was shown in this case. This flaw affects ImageMagick versions prior to ImageMagick 7.0.9-0."
37,CVE-2020-27760,prior to 7.0.8-68,PerceptibleReciprocal,,,,369,,,12/3/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In `GammaImage()` of /MagickCore/enhance.c, depending on the `gamma` value, it's possible to trigger a divide-by-zero condition when a crafted input file is processed by ImageMagick. This could lead to an impact to application availability. The patch uses the `PerceptibleReciprocal()` to prevent the divide-by-zero from occurring. This flaw affects ImageMagick versions prior to ImageMagick 7.0.8-68."
38,CVE-2020-27759,prior to 7.0.8-68,IntensityCompare,,,,190,,,12/3/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In IntensityCompare() of /MagickCore/quantize.c, a double value was being casted to int and returned, which in some cases caused a value outside the range of type `int` to be returned. The flaw could be triggered by a crafted input file under certain conditions when processed by ImageMagick. Red Hat Product Security marked this as Low severity because although it could potentially lead to an impact to application availability, no specific impact was shown in this case. This flaw affects ImageMagick versions prior to 7.0.8-68."
39,CVE-2020-27758,prior to 7.0.8-68,ReadTXTImage,,,,190,,,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in coders/txt.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned long long`. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.8-68."
40,CVE-2020-27757,prior to 7.0.8-68,ScaleQuantumToAny,,,,190,,,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A floating point math calculation in ScaleAnyToQuantum() of /MagickCore/quantum-private.h could lead to undefined behavior in the form of a value outside the range of type unsigned long long. The flaw could be triggered by a crafted input file under certain conditions when it is processed by ImageMagick. Red Hat Product Security marked this as Low because although it could potentially lead to an impact to application availability, no specific impact was shown in this case. This flaw affects ImageMagick versions prior to 7.0.8-68."
41,CVE-2020-27756,prior to 7.0.9-0,PerceptibleReciprocal,,,,369,,,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In ParseMetaGeometry() of MagickCore/geometry.c, image height and width calculations can lead to divide-by-zero conditions which also lead to undefined behavior. This flaw can be triggered by a crafted input file processed by ImageMagick and could impact application availability. The patch uses multiplication in addition to the function `PerceptibleReciprocal()` in order to prevent such divide-by-zero conditions. This flaw affects ImageMagick versions prior to 7.0.9-0."
42,CVE-2020-27755,prior to 7.0.9-0,SetImageExtent,,,,401,,DoS,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"in SetImageExtent() of /MagickCore/image.c, an incorrect image depth size can cause a memory leak because the code which checks for the proper image depth size does not reset the size in the event there is an invalid size. The patch resets the depth to a proper size before throwing an exception. The memory leak can be triggered by a crafted input file that is processed by ImageMagick and could cause an impact to application reliability, such as denial of service. This flaw affects ImageMagick versions prior to 7.0.9-0."
43,CVE-2020-27754,prior to 6.9.10-69 and 7.0.8-69,", IntensityCompare",,,,190,,Overflow,12/8/2020,3/25/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In IntensityCompare() of /magick/quantize.c, there are calls to PixelPacketIntensity() which could return overflowed values to the caller when ImageMagick processes a crafted input file. To mitigate this, the patch introduces and uses the ConstrainPixelIntensity() function, which forces the pixel intensities to be within the proper bounds in the event of an overflow. This flaw affects ImageMagick versions prior to 6.9.10-69 and 7.0.8-69."
44,CVE-2020-27753,prior to 7.0.9-0,"AcquireMagickMemory,WriteMIFFImage, PopRunlengthPacket, ReadMIFFImage, PushRunlengthPacket",,,,401,,DoS,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"There are several memory leaks in the MIFF coder in /coders/miff.c due to improper image depth values, which can be triggered by a specially crafted input file. These leaks could potentially lead to an impact to application availability or cause a denial of service. It was originally reported that the issues were in `AcquireMagickMemory()` because that is where LeakSanitizer detected the leaks, but the patch resolves issues in the MIFF coder, which incorrectly handles data being passed to `AcquireMagickMemory()`. This flaw affects ImageMagick versions prior to 7.0.9-0."
45,CVE-2020-27752,prior to 7.0.9-0,WriteOnePNGImage,,,"memset(ping_pixels,0,(rowbytes+256)*sizeof(*ping_pixels))",787,,Overflow,12/8/2020,4/28/2021,5.8,None,Remote,Medium,Not required,None,Partial,Partial,"A flaw was found in ImageMagick in MagickCore/quantum-private.h. An attacker who submits a crafted file that is processed by ImageMagick could trigger a heap buffer overflow. This would most likely lead to an impact to application availability, but could potentially lead to an impact to data integrity as well. This flaw affects ImageMagick versions prior to 7.0.9-0."
46,CVE-2020-27751,prior to 7.0.9-0,"ScaleAnyToQuantum, SetQuantumDepth",,,,190,,,12/8/2020,6/3/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in MagickCore/quantum-export.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned long long` as well as a shift exponent that is too large for 64-bit type. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.9-0."
47,CVE-2020-27750,prior to 7.0.8-68,"ConvertRGBToCMYK, PixelSyncIterator",,,,369,,,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"A flaw was found in ImageMagick in MagickCore/colorspace-private.h and MagickCore/quantum.h. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of values outside the range of type `unsigned char` and math division by zero. This would most likely lead to an impact to application availability, but could potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.8-68."
48,CVE-2020-27560,7.0.10-34 ,OptimizeLayerFrames,,,,369,,DoS,10/22/2020,6/3/2022,4.3,None,Remote,Medium,Not required,None,None,Partial,"ImageMagick 7.0.10-34 allows Division by Zero in OptimizeLayerFrames in MagickCore/layer.c, which may cause a denial of service."
49,CVE-2020-25676,prior to 7.0.9-0,"CatromWeights, SplineWeights, InterpolatePixelChannel, MagickBooleanType ",,,,190,,Overflow,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In CatromWeights(), MeshInterpolate(), InterpolatePixelChannel(), InterpolatePixelChannels(), and InterpolatePixelInfo(), which are all functions in /MagickCore/pixel.c, there were multiple unconstrained pixel offset calculations which were being used with the floor() function. These calculations produced undefined behavior in the form of out-of-range and integer overflows, as identified by UndefinedBehaviorSanitizer. These instances of undefined behavior could be triggered by an attacker who is able to supply a crafted input file to be processed by ImageMagick. These issues could impact application availability or potentially cause other problems related to undefined behavior. This flaw affects ImageMagick versions prior to 7.0.9-0."
50,CVE-2020-25675,prior to 7.0.9-0,"CropImage, CropImageToTiles",,,,190,,Overflow,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"In the CropImage() and CropImageToTiles() routines of MagickCore/transform.c, rounding calculations performed on unconstrained pixel offsets was causing undefined behavior in the form of integer overflow and out-of-range values as reported by UndefinedBehaviorSanitizer. Such issues could cause a negative impact to application availability or other problems related to undefined behavior, in cases where ImageMagick processes untrusted input data. The upstream patch introduces functionality to constrain the pixel offsets and prevent these issues. This flaw affects ImageMagick versions prior to 7.0.9-0."
51,CVE-2020-25674,prior to 7.0.8-68,WriteOnePNGImage,,,,125,,Overflow,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"WriteOnePNGImage() from coders/png.c (the PNG coder) has a for loop with an improper exit condition that can allow an out-of-bounds READ via heap-buffer-overflow. This occurs because it is possible for the colormap to have less than 256 valid values but the loop condition will loop 256 times, attempting to pass invalid colormap data to the event logger. The patch replaces the hardcoded 256 value with a call to MagickMin() to ensure the proper value is used. This could impact application availability when a specially crafted input file is processed by ImageMagick. This flaw affects ImageMagick versions prior to 7.0.8-68."
52,CVE-2020-25667,prior to 7.0.9-0,TIFFGetProfiles,,,,125,,,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"TIFFGetProfiles() in /coders/tiff.c calls strstr() which causes a large out-of-bounds read when it searches for `""dc:format=\""image/dng\""` within `profile` due to improper string handling, when a crafted input file is provided to ImageMagick. The patch uses a StringInfo type instead of a raw C string to remedy this. This could cause an impact to availability of the application. This flaw affects ImageMagick versions prior to 7.0.9-0."
53,CVE-2020-25666,prior to 7.0.9-0.,HistogramCompare,,,The patch uses casts to `ssize_t` type,190,,Overflow,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"There are 4 places in HistogramCompare() in MagickCore/histogram.c where an integer overflow is possible during simple math calculations. This occurs in the rgb values and `count` value for a color. The patch uses casts to `ssize_t` type for these calculations, instead of `int`. This flaw could impact application reliability in the event that ImageMagick processes a crafted input file. This flaw affects ImageMagick versions prior to 7.0.9-0."
54,CVE-2020-25665,prior to 7.0.8-68,"WritePALMImage, AcquireQuantumMemory",,,,125,,,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,The PALM image coder at coders/palm.c makes an improper call to AcquireQuantumMemory() in routine WritePALMImage() because it needs to be offset by 256. This can cause a out-of-bounds read later on in the routine. The patch adds 256 to bytes_per_row in the call to AcquireQuantumMemory(). This could cause impact to reliability. This flaw affects ImageMagick versions prior to 7.0.8-68.
55,CVE-2020-25664,prior to 6.9.10-68 and 7.0.8-68.,"WriteOnePNGImage, PopShortPixel",,,,787,,,12/8/2020,12/16/2021,5.8,None,Remote,Medium,Not required,None,Partial,Partial,"In WriteOnePNGImage() of the PNG coder at coders/png.c, an improper call to AcquireVirtualMemory() and memset() allows for an out-of-bounds write later when PopShortPixel() from MagickCore/quantum-private.h is called. The patch fixes the calls by adding 256 to rowbytes. An attacker who is able to supply a specially crafted image could affect availability with a low impact to data integrity. This flaw affects ImageMagick versions prior to 6.9.10-68 and 7.0.8-68."
56,CVE-2020-25663,prior to 7.0.9-0,ConformPixelInfo,,,,416,,DoS Overflow,12/8/2020,6/2/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,A call to ConformPixelInfo() in the SetImageAlphaChannel() routine of /MagickCore/channel.c caused a subsequent heap-use-after-free or heap-buffer-overflow READ when GetPixelRed() or GetPixelBlue() was called. This could occur if an attacker is able to submit a malicious image file to be processed by ImageMagick and could lead to denial of service. It likely would not lead to anything further because the memory is used as pixel data and not e.g. a function pointer. This flaw affects ImageMagick versions prior to 7.0.9-0.
57,CVE-2020-19667,7.0.10-7,ReadXPMImage ,,,,787,,Overflow,11/20/2020,2/24/2021,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Stack-based buffer overflow and unconditional jump in ReadXPMImage in coders/xpm.c in ImageMagick 7.0.10-7.
58,CVE-2020-13902,7.0.9-27 through 7.0.10-17 ,BlobToStringInfo ,,,,125,,,6/7/2020,6/10/2020,5.8,None,Remote,Medium,Not required,Partial,None,Partial,ImageMagick 7.0.9-27 through 7.0.10-17 has a heap-based buffer over-read in BlobToStringInfo in MagickCore/string.c during TIFF image decoding.
59,CVE-2020-10251,7.0.9,ReadHEICImageByID ,,,,125,,,3/10/2020,3/10/2020,4.3,None,Remote,Medium,Not required,None,None,Partial,"In ImageMagick 7.0.9, an out-of-bounds read vulnerability exists within the ReadHEICImageByID function in coders\heic.c. It can be triggered via an image with a width or height value that exceeds the actual size of the image."
60,CVE-2019-19952,,"MngInfoDiscardObject , ReadOneMNGImage",,,,416,,,12/24/2019,1/2/2020,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"In ImageMagick 7.0.9-7 Q16, there is a use-after-free in the function MngInfoDiscardObject of coders/png.c, related to ReadOneMNGImage."
61,CVE-2019-19949,ImageMagick 7.0.8-43 ,"WritePNGImage ,Magick_png_write_raw_profile ",,,,125,,,12/24/2019,9/30/2020,6.4,None,Remote,Low,Not required,Partial,None,Partial,"In ImageMagick 7.0.8-43 Q16, there is a heap-based buffer over-read in the function WritePNGImage of coders/png.c, related to Magick_png_write_raw_profile and LocaleNCompare."
62,CVE-2019-19948,,WriteSGIImage ,,,,787,,Overflow,12/24/2019,9/30/2020,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"In ImageMagick 7.0.8-43 Q16, there is a heap-based buffer overflow in the function WriteSGIImage of coders/sgi.c."
63,CVE-2019-18853,before 7.0.9-0,ReadSVGImage,,,,674,,DoS,11/11/2019,4/28/2021,4.3,None,Remote,Medium,Not required,None,None,Partial,"ImageMagick before 7.0.9-0 allows remote attackers to cause a denial of service because XML_PARSE_HUGE is not properly restricted in coders/svg.c, related to SVG and libxml2."
64,CVE-2019-17547,before 7.0.8-62,TraceBezier,,,,416,,,10/14/2019,10/18/2019,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,"In ImageMagick before 7.0.8-62, TraceBezier in MagickCore/draw.c has a use-after-free."
65,CVE-2019-17541,before 7.0.8-55,DestroyStringInfo ,,,,416,,,10/14/2019,4/20/2021,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,ImageMagick before 7.0.8-55 has a use-after-free in DestroyStringInfo in MagickCore/string.c because the error manager is mishandled in coders/jpeg.c.
66,CVE-2019-17540,before 7.0.8-54,ReadPSInfo ,,,,787,,Overflow,10/14/2019,4/20/2021,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,ImageMagick before 7.0.8-54 has a heap-based buffer overflow in ReadPSInfo in coders/ps.c.
